Year,Year Text,Month,Month Text,Day,Day Text,Hour,Hour Text,Minute,Minute Text,Time,Clearsky DHI,Clearsky DNI,Clearsky GHI,Cloud Type,Fill Flag,Ozone,Solar Zenith Angle,Precipitable Water,Temperature,Dew Point,DHI,DNI,GHI,Relative Humidity,Surface Albedo,Pressure,Wind Direction,Wind Speed
2020,2020,1,1,1,1,0,0,0,0,20201100,0,0,0,7,0,0.247,174.25,0.5,7,-4.9,0,0,0,42.61,0.17,993,316,1.3
2020,2020,1,1,1,1,1,1,0,0,20201110,0,0,0,3,0,0.247,164.06,0.5,6.5,-4.8,0,0,0,44.18,0.17,993,322,1.3
2020,2020,1,1,1,1,2,2,0,0,20201120,0,0,0,0,0,0.247,151.09,0.5,6,-4.8,0,0,0,45.8,0.17,993,329,1.3
2020,2020,1,1,1,1,3,3,0,0,20201130,0,0,0,0,0,0.248,137.93,0.5,5.2,-4.8,0,0,0,48.51,0.17,993,335,1.3
2020,2020,1,1,1,1,4,4,0,0,20201140,0,0,0,0,0,0.249,124.85,0.5,4.9,-4.7,0,0,0,49.7,0.17,993,340,1.3
2020,2020,1,1,1,1,5,5,0,0,20201150,0,0,0,7,0,0.335,111.94,1,4.8,-2.5,0,0,0,59.34,0.19,996,93,1.1
2020,2020,1,1,1,1,6,6,0,0,20201160,0,0,0,7,0,0.338,99.43,1,4.6,-2.4,0,0,0,60.36,0.19,997,101,1.1
2020,2020,1,1,1,1,7,7,0,0,20201170,12,27,13,7,5,0.34,87.2,1,5.6,-1.4,12,27,13,60.58,0.19,998,108,0.8
2020,2020,1,1,1,1,8,8,0,0,20201180,112,217,164,4,5,0.341,76.23,1,8.3,-1.5,112,217,164,50.2,0.19,999,115,1.7
2020,2020,1,1,1,1,9,9,0,0,20201190,191,369,339,1,0,0.342,66.36,1,11.1,-1.1,191,369,339,42.65,0.19,999,116,1.9
2020,2020,1,1,1,1,10,10,0,0,202011100,237,466,482,3,5,0.343,58.38,1,15.3,-1.3,237,466,482,31.94,0.19,999,118,2.5
2020,2020,1,1,1,1,11,11,0,0,202011110,272,491,566,3,5,0.345,53.18,1,17.5,-1.2,272,491,566,28.01,0.19,998,113,2.7
2020,2020,1,1,1,1,12,12,0,0,202011120,277,509,593,7,3,0.347,51.62,1,18.9,-1.3,288,261,450,25.45,0.19,997,109,2.7
2020,2020,1,1,1,1,13,13,0,0,202011130,265,492,554,7,1,0.349,54.03,1,19.6,-1.4,270,248,415,24.3,0.19,996,108,2.7
2020,2020,1,1,1,1,14,14,0,0,202011140,219,479,459,7,3,0.353,59.91,1,19.5,-1.1,224,209,329,24.88,0.19,996,108,2.5
2020,2020,1,1,1,1,15,15,0,0,202011150,170,369,305,7,3,0.357,68.38,1.1,18,2.6,156,145,209,35.64,0.19,996,108,1.4
2020,2020,1,1,1,1,16,16,0,0,202011160,89,200,128,7,3,0.36,78.56,1.1,14.4,3.3,75,64,88,47.2,0.19,996,109,1.1
2020,2020,1,1,1,1,17,17,0,0,202011170,0,0,0,7,3,0.362,89.53,1.1,12.6,1.3,0,0,0,46.21,0.19,997,110,1.3
2020,2020,1,1,1,1,18,18,0,0,202011180,0,0,0,4,0,0.363,102.11,1.1,11.9,1.4,0,0,0,48.66,0.19,998,111,1.3
2020,2020,1,1,1,1,19,19,0,0,202011190,0,0,0,7,0,0.361,114.71,1.1,11.1,1.5,0,0,0,51.47,0.19,998,111,1.3
2020,2020,1,1,1,1,20,20,0,0,202011200,0,0,0,3,0,0.359,127.63,1.1,10.2,1.6,0,0,0,55,0.19,998,107,1.3
2020,2020,1,1,1,1,21,21,0,0,202011210,0,0,0,8,0,0.357,140.74,1,9.1,2.1,0,0,0,61.42,0.19,999,102,1.3
2020,2020,1,1,1,1,22,22,0,0,202011220,0,0,0,7,0,0.355,153.89,1.1,8.1,2.6,0,0,0,68.34,0.19,998,102,1.3
2020,2020,1,1,1,1,23,23,0,0,202011230,0,0,0,6,0,0.354,166.71,1.1,7.3,3.2,0,0,0,75.11,0.19,998,105,1.3
2020,2020,1,1,2,2,0,0,0,0,20201200,0,0,0,6,0,0.355,174.24,1.1,6.8,3.7,0,0,0,80.49,0.19,998,109,1.3
2020,2020,1,1,2,2,1,1,0,0,20201210,0,0,0,7,0,0.355,164.08,1.2,6.4,4.1,0,0,0,85.15,0.19,997,110,1.3
2020,2020,1,1,2,2,2,2,0,0,20201220,0,0,0,7,0,0.354,151.11,1.2,6,4.5,0,0,0,89.8,0.19,997,113,1.2
2020,2020,1,1,2,2,3,3,0,0,20201230,0,0,0,7,0,0.353,137.95,1.2,5.6,4.8,0,0,0,94.61,0.19,997,119,1.1
2020,2020,1,1,2,2,4,4,0,0,20201240,0,0,0,7,0,0.351,124.87,1.3,5.4,5.2,0,0,0,98.69,0.19,997,122,1.1
2020,2020,1,1,2,2,5,5,0,0,20201250,0,0,0,7,0,0.349,112.01,1.3,5.2,5.2,0,0,0,100,0.19,998,115,1
2020,2020,1,1,2,2,6,6,0,0,20201260,0,0,0,8,0,0.348,99.49,1.4,5.1,5.1,0,0,0,100,0.19,998,100,0.9
2020,2020,1,1,2,2,7,7,0,0,20201270,15,37,17,8,3,0.349,87.25,1.4,6.5,6,16,0,16,96.76,0.19,999,77,1
2020,2020,1,1,2,2,8,8,0,0,20201280,106,288,174,3,5,0.351,76.27,1.4,9,6.4,106,288,174,83.73,0.19,1000,70,1.5
2020,2020,1,1,2,2,9,9,0,0,20201290,161,472,350,0,0,0.354,66.37,1.5,12.8,7.3,161,472,350,69.42,0.19,1000,90,1.6
2020,2020,1,1,2,2,10,10,0,0,202012100,190,580,495,0,0,0.357,58.36,1.5,16.7,8.2,190,580,495,57.31,0.19,1000,115,2.5
2020,2020,1,1,2,2,11,11,0,0,202012110,280,473,564,1,0,0.361,53.13,1.5,18.5,8.6,280,473,564,52.35,0.19,998,122,3.1
2020,2020,1,1,2,2,12,12,0,0,202012120,293,471,586,3,5,0.363,51.54,1.6,19.3,8.8,293,471,586,50.67,0.19,997,124,3.2
2020,2020,1,1,2,2,13,13,0,0,202012130,284,445,546,0,0,0.364,53.91,1.6,19.7,9,284,445,546,49.91,0.19,995,122,3
2020,2020,1,1,2,2,14,14,0,0,202012140,235,431,452,0,0,0.363,59.78,1.6,19.6,9,235,431,452,50.44,0.19,995,117,2.5
